BUNDESAMT FUER LANDESTOPOGRAFIE SWISSTOPO - DREIECKSVERMASCHUNG CHENyx06
FUER DIE KOORDINATENTRANSFORMATION LV03 <-> LV95 UEBER FINITE ELEMENTE
DREIECKSVERMASCHUNGSDEFINITION:                 STAND DER NACHFUERUNG:  03.2007
AR0023 10947430       10947610       10950640       2006
AR0024 10947430       10950640       10951790       2006
AR0025 10951790       10950640       10952740       2006
AR0026 10952740       10950640       11152080       2006
AR0027 10952740       11152080       11154590       2006
AR0028 11154590       11152080       11153230       2006
AR0029 11154590       11153230       11156120       2006
AR0030 11156120       11153230       11156270       2006
AR0031 10947610       11147440       10950640       2006
AR0032 10950640       11147440       11150110       2006
AR0033 10950640       11150110       11152080       2006
AR0034 11152080       11150110       11153230       2006
AR0035 11147440       11148000       11150110       2006
AR0036 11150110       11148000       11151360       2006
AR0037 11150110       11151360       11153230       2006
AR0038 11153230       11151360       11153530       2006
AR0039 11153230       11153530       11156270       2006
BE0001 11489450       11481270       11482100       2006
BE0002 11489500       11482100       11481270       2006
BE0003 11489500       11481270       11483240       2006
BE0004 11489500       11483240       11486300       2006
BE0005 11478000       11478300       11481270       2006
BE0006 11478300       11481370       11481270       2006
BE0007 11481270       11481370       11483240       2006
BE0008 11684020       11483240       11481370       2006
BE0009 11684020       11486300       11483240       2006
BE0010 11684020       11687010       11486300       2006
BE0011 11690010       11486300       11687010       2006
BE0012 11476490       11678020       11478300       2006
BE0013 11478470       11481370       11478300       2006
BE0014 11478470       11682020       11481370       2006
BE0015 11684020       11481370       11682020       2006
BE0016 11478470       11678020       11678080       2006
BE0017 11681120       11683180       11682020       2006
BE0018 11684020       11682020       11683180       2006
BE0019 11684020       11686670       11687010       2006
BE0020 11689480       11687010       11686670       2006
BE0021 11691310       11689480       11689490       2006
BE0022 11678080       11678020       11677210       2006
BE0023 11681000       11681120       11679370       2006
BE0024 11681000       11683180       11681120       2006
BE0025 11681000       11684440       11683180       2006
BE0026 11683180       11684440       11686670       2006
BE0027 11686540       11686670       11684440       2006
BE0028 11681000       11679370       11680490       2006
BE0029 11885070       11683580       11884710       2006
BE0030 11686540       11689490       11686670       2006
BE0031 11681000       11680490       11683580       2006
BE0032 11680490       11881060       11683580       2006
BE0033 11683460       11681000       11683580       2006
BE0034 11885070       11683460       11683580       2006
BE0035 11686540       11684440       11885070       2006
BE0036 11879320       11878170       11881060       2006
BE0037 11881060       11878170       11881470       2006
BE0038 11683580       11881060       11884710       2006
BE0039 11881060       11881470       11884710       2006
BE0040 11877330       11880330       11878170       2006
BE0041 11881470       11878170       11881480       2006
BE0042 11882240       11881470       11881480       2006
BE0043 11882240       11884710       11881470       2006
BE0044 11883350       11882240       11883700       2006
BE0045 11885070       11884710       11885860       2006
BE0046 11885900       11890410       11886422       2006
BE0047 11880330       11881480       11878170       2006
BE0048 11880330       11882350       11881480       2006
BE0049 11889230       11881480       11882350       2006
BE0050 11889230       11882240       11881480       2006
BE0051 11889230       11885900       11883700       2006
BE0052 12085020       11890410       11885900       2006
BE0053 11684020       11683180       11686670       2006
BE0054 11678242       11679370       11681120       2006
BE0055 11886240       11883700       11886422       2006
BE0056 11883700       11885900       11886422       2006
BE0057 11058340       11059770       11060310       2006
BE0058 11247220       11243270       11243350       2006
BE0059 11057130       11059770       11058340       2006
BE0060 11060190       11060310       11063450       2006
BE0061 11069410       11063450       11060310       2006
BE0062 11069420       11060310       11063410       2006
BE0063 11067176       11069520       11066330       2006
BE0064 11069670       11070170       11067176       2006
BE0065 11060310       11060460       11063410       2006
BE0066 11261020       11063410       11060460       2006
BE0067 11269690       11263040       11063410       2006
BE0068 11057000       11261020       11060460       2006
BE0069 11059810       11060460       11060310       2006
BE0070 11059770       11059810       11060310       2006
BE0071 11056320       11054530       11059720       2006
BE0072 11059720       11054530       11255030       2006
BE0073 11259610       11255030       11256092       2006
BE0074 11259710       11255030       11253170       2006
BE0075 11259740       11251070       11255030       2006
BE0076 11259730       11253170       11255030       2006
BE0077 11253230       11256170       11259710       2006
BE0078 11253230       11259710       11253170       2006
BE0079 11250120       11250210       11251070       2006
BE0080 11252220       11251070       11250210       2006
BE0081 11459580       11460240       11469290       2006
BE0082 11469290       11460240       11461160       2006
BE0083 11247220       11250210       11250120       2006
BE0084 11244242       11247220       11247120       2006
BE0085 11247220       11247420       11250210       2006
BE0086 12478270       12477192       12479760       2006
BE0087 11247220       11445020       11247420       2006
BE0088 11247220       11243350       11445020       2006
BE0089 12475244       12479840       12479760       2006
BE0090 11259700       11255410       11254270       2006
BE0091 11453062       11255410       11452060       2006
BE0092 11255410       11455190       11257380       2006
BE0093 11453190       11453280       11455190       2006
BE0094 11259620       11256170       11254270       2006
BE0095 11256300       11254270       11255410       2006
BE0096 11256300       11255410       11257380       2006
BE0097 11269190       11258150       11259620       2006
BE0098 11259620       11258150       11256170       2006
BE0099 11259890       11261020       11256092       2006
BE0100 11256300       11258370       11260230       2006
BE0101 11269190       11260230       11261090       2006
BE0102 11258370       11269020       11260230       2006
BE0103 11259610       11256092       11261020       2006
BE0104 11259890       11256170       11258150       2006
BE0105 11260132       11063410       11261020       2006
BE0106 11260230       11261280       11263150       2006
BE0107 11269610       11261090       11260230       2006
BE0108 11260132       11269690       11063410       2006
BE0109 11269610       11263040       11269690       2006
BE0110 11269590       11263150       11261280       2006
BE0111 11269600       11266300       11263150       2006
BE0112 11264330       11266400       11266300       2006
BE0113 11263350       11269590       11462010       2006
BE0114 11269010       11462010       11261280       2006
BE0115 11258370       11458020       11461040       2006
BE0116 11461040       11469290       11461160       2006
BE0117 11461160       11464070       11462010       2006
BE0118 11461160       11463180       11464070       2006
BE0119 11461040       11458020       11469290       2006
BE0120 11459580       11455190       11456100       2006
BE0121 11459580       11458020       11455190       2006
BE0122 11257380       11455190       11458020       2006
BE0123 11453280       11456100       11455190       2006
BE0124 11453280       11453510       11456100       2006
BE0125 11453510       11655070       11456100       2006
BE0126 11457250       11460450       11460240       2006
BE0127 11462490       11469530       11460450       2006
BE0128 11469530       11463000       11460240       2006
BE0129 11460240       11463180       11461160       2006
BE0130 11463000       11463180       11460240       2006
BE0131 11464340       11466200       11463180       2006
BE0132 11462490       11460450       11662150       2006
BE0133 11462490       11663030       11463460       2006
BE0134 11465490       11467390       11466200       2006
BE0135 11468140       11466200       11467390       2006
BE0136 11468140       11467390       11471360       2006
BE0137 11468140       11472220       11471120       2006
BE0138 11468140       11471360       11472220       2006
BE0139 11473380       11472220       11471360       2006
BE0140 11471010       11468070       11471120       2006
BE0141 11473380       11471360       11668060       2006
BE0142 11272620       11471010       11471120       2006
BE0143 11272620       11471120       11474020       2006
BE0144 11279350       11474020       11275510       2006
BE0145 11471120       11472220       11474020       2006
BE0146 11472220       11474180       11474020       2006
BE0147 11275510       11474020       11474180       2006
BE0148 11275510       11474180       11477040       2006
BE0149 11275510       11477040       11278390       2006
BE0150 11474180       11476220       11477040       2006
BE0151 11477200       11478000       11477040       2006
BE0152 11477200       11476220       11478300       2006
BE0153 11278390       11477040       11281460       2006
BE0154 11489450       11281460       11477040       2006
BE0155 11278390       11281460       11281310       2006
BE0156 12300050       12497020       12303160       2006
BE0157 11489450       11477040       11478000       2006
BE0158 11489500       11484100       11283490       2006
BE0159 11281460       11482100       11283490       2006
BE0160 11281310       11281460       11283490       2006
BE0161 11489440       11283490       11484100       2006
BE0162 11285000       11284212       11283490       2006
BE0163 11284212       11283280       11283490       2006
BE0164 11281310       11283490       11283280       2006
BE0165 11281180       11281310       11283280       2006
BE0166 11289400       11284000       11284212       2006
BE0167 11284000       11283280       11284212       2006
BE0168 11282170       11284000       11089390       2006
BE0169 11282170       11282542       11281180       2006
BE0170 11280020       11281180       11282542       2006
BE0171 11082360       11280020       11282542       2006
BE0172 11078320       11280020       11082360       2006
BE0173 11076210       11076350       11078320       2006
BE0174 11079380       11076350       11076210       2006
BE0175 11473380       11476220       11472220       2006
BE0176 11472220       11476220       11474180       2006
BE0177 11473380       11476490       11476220       2006
BE0178 11476220       11476490       11478300       2006
BE0179 11479470       11476490       11473380       2006
BE0180 11676240       11677210       11678020       2006
BE0181 11476490       11675140       11678020       2006
BE0182 11473490       11673530       11675140       2006
BE0183 11473490       11675140       11476490       2006
BE0184 11672130       11673530       11473490       2006
BE0185 11676240       11678020       11675140       2006
BE0186 11675510       11675140       11673530       2006
BE0187 11675510       11673530       11672300       2006
BE0188 11676310       11672300       11676480       2006
BE0189 11676310       11676480       11679370       2006
BE0190 11672300       11674420       11676480       2006
BE0191 11676480       11876130       11680490       2006
BE0192 11874450       11876130       11676480       2006
BE0193 11874450       11676480       11674420       2006
BE0194 11874450       11674420       11872200       2006
BE0195 11872030       11671410       11872200       2006
BE0196 11671410       11674420       11672300       2006
BE0197 11672130       11672300       11673530       2006
BE0198 11479470       11473380       11668060       2006
BE0199 11672130       11473490       11668060       2006
BE0200 11467390       11668060       11471360       2006
BE0201 11669520       11668060       11467390       2006
BE0202 11669520       11467390       11465490       2006
BE0203 11464340       11463460       11465490       2006
BE0204 11679510       11672130       11668060       2006
BE0205 11679510       11672300       11672130       2006
BE0206 11666140       11670150       11668060       2006
BE0207 11465490       11664140       11666140       2006
BE0208 11670310       11672300       11679510       2006
BE0209 11670310       11670150       11667790       2006
BE0211 11667790       11666140       11664440       2006
BE0212 11664140       11664440       11666140       2006
BE0213 11663030       11664140       11465490       2006
BE0214 11464340       11463180       11463000       2006
BE0215 11663460       11865510       11664440       2006
BE0216 11669550       11662150       11669010       2006
BE0217 11659040       11669550       11669010       2006
BE0218 11663250       11661370       11664440       2006
BE0219 11663250       11662150       11669550       2006
BE0220 11661370       11662410       11664440       2006
