anumber	ost	nord	state_of
10862290	589351.500	247786.770	2006
10862450	590394.650	244980.210	2006
10862540	589250.720	243321.290	2006
10863080	592920.240	252876.460	2006
10863230	591692.650	250616.790	2006
10863330	592914.380	247694.330	2006
10863400	592117.510	246479.180	2006
10864410	593462.560	245570.740	2006
10864500	593085.020	243493.830	2006
10865080	595575.660	252297.810	2006
10865260	596116.510	247679.360	2006
10865350	596032.370	246020.720	2006
10865480	596714.510	243918.460	2006
10866420	598516.490	244784.130	2006
10866550	597813.140	242269.260	2006
10867111	599399.780	251479.780	2006
10867240	599903.110	247783.500	2006
10868040	601003.620	253017.470	2006
10868350	601298.590	242396.640	2006
10869010	593558.280	247128.680	2006
10870390	603972.570	245259.430	2006
10871181	603986.610	251663.880	2006
10871270	605078.930	248633.480	2006
10871360	604388.950	246922.330	2006
10871410	605417.010	246049.400	2006
10871610	604703.310	242773.570	2006
10872140	606268.930	251355.890	2006
10872440	607854.240	245303.220	2006
10872500	606696.190	244402.740	2006
10873100	608711.370	251504.860	2006
10873210	608054.110	248613.130	2006
10874020	610293.340	253518.640	2006
10874162	610861.490	249446.290	2006
10874451	610669.340	243581.730	2006
10875040	613530.470	253169.260	2006
10875120	612605.450	250915.570	2006
10875340	612036.240	246397.850	2006
10875460	613847.530	243877.240	2006
10876140	615577.170	250815.690	2006
10876300	614034.230	248472.190	2006
10876410	615450.070	246459.830	2006
10876511	615760.290	244310.030	2006
10876630	615450.190	242442.230	2006
10878050	619213.260	253499.170	2006
10878250	618205.910	250635.910	2006
10878690	618261.300	246300.260	2006
10878960	618557.940	242552.490	2006
10879630	608302.670	242521.540	2006
10880240	620515.920	251270.140	2006
10880490	620791.990	248869.720	2006
10880850	620805.120	242692.990	2006
10881300	623831.640	250229.750	2006
10881570	622000.740	246482.450	2006
10882920	624579.550	243165.220	2006
10883090	627216.900	252721.170	2006
10883350	627053.340	249939.940	2006
10884680	628091.130	245849.560	2006
10884840	628275.880	242755.920	2006
10885083	631580.930	252873.570	2006
10885510	631575.110	247844.390	2006
10885730	631129.420	244044.890	2006
10885820	631017.200	242085.090	2006
10885830	631574.920	246010.310	2006
10886276	633445.170	250273.400	2006
10886590	633718.670	244077.380	2006
10886690	633424.780	242475.950	2006
10887750	634041.970	247670.700	2006
10887760	635822.080	249342.710	2006
10888000	636307.450	242601.920	2006
10888121	637520.750	251092.670	2006
10888250	636677.170	247715.950	2006
10888350	637076.840	245608.900	2006
10890030	638900.360	252809.470	2006
10890160	638946.980	248982.500	2006
10891137	640204.350	252395.890	2006
